Stock,PCR,TradeDate
ADANIPOWER,0.381754,2019-11-22
ADANIPOWER,0.400457,2019-11-25
ADANIPOWER,0.395765,2019-11-26
ADANIPOWER,0.451418,2019-11-27
ADANIPOWER,0.383465,2019-11-28
ADANIPOWER,0.428893,2019-11-29
ADANIPOWER,0.439922,2019-12-02
ADANIPOWER,0.485996,2019-12-03
ADANIPOWER,0.492113,2019-12-04
ADANIPOWER,0.453910,2019-12-05
ADANIPOWER,0.497389,2019-12-06
AMARAJABAT,0.563909,2019-10-10
AMARAJABAT,0.559701,2019-10-11
AMARAJABAT,0.561151,2019-10-14
AMARAJABAT,0.881443,2019-10-15
AMARAJABAT,0.802884,2019-10-16
AMARAJABAT,0.909482,2019-10-17
AMARAJABAT,0.885593,2019-10-18
AMARAJABAT,0.705882,2019-10-22
AMARAJABAT,0.679715,2019-10-23
AMARAJABAT,0.695035,2019-10-24
AMARAJABAT,0.724014,2019-10-25
AMARAJABAT,0.617449,2019-10-29
AMARAJABAT,0.621093,2019-10-30
AMARAJABAT,0.864516,2019-10-31
AMARAJABAT,0.490196,2019-11-01
AMARAJABAT,0.519230,2019-11-04
AMARAJABAT,0.600000,2019-11-05
AMARAJABAT,0.568181,2019-11-06
AMARAJABAT,0.493506,2019-11-07
AMARAJABAT,0.573964,2019-11-08
AMARAJABAT,0.596666,2019-11-11
AMARAJABAT,0.693311,2019-11-13
AMARAJABAT,0.840425,2019-11-14
AMARAJABAT,0.928433,2019-11-15
AMARAJABAT,0.993697,2019-11-18
AMARAJABAT,0.980851,2019-11-19
AMARAJABAT,0.973214,2019-11-20
AMARAJABAT,0.995327,2019-11-21
AMARAJABAT,0.947743,2019-11-22
AMARAJABAT,1.012987,2019-11-25
AMARAJABAT,0.748560,2019-11-26
AMARAJABAT,0.843902,2019-11-27
AMARAJABAT,0.939102,2019-11-28
AMARAJABAT,0.226562,2019-11-29
AMARAJABAT,0.233576,2019-12-02
AMARAJABAT,0.213483,2019-12-03
AMARAJABAT,0.278106,2019-12-04
AMARAJABAT,0.314465,2019-12-05
AMARAJABAT,0.343373,2019-12-06
AMBUJACEM,0.504571,2019-10-10
AMBUJACEM,0.491228,2019-10-11
AMBUJACEM,0.542836,2019-10-14
AMBUJACEM,0.588147,2019-10-15
AMBUJACEM,0.637972,2019-10-16
AMBUJACEM,0.679566,2019-10-17
AMBUJACEM,0.618223,2019-10-18
AMBUJACEM,0.421392,2019-10-22
AMBUJACEM,0.413372,2019-10-23
AMBUJACEM,0.441638,2019-10-24
AMBUJACEM,0.453697,2019-10-25
AMBUJACEM,0.461800,2019-10-29
AMBUJACEM,0.488317,2019-10-30
AMBUJACEM,0.505147,2019-10-31
AMBUJACEM,0.392156,2019-11-01
AMBUJACEM,0.392473,2019-11-04
AMBUJACEM,0.394581,2019-11-05
AMBUJACEM,0.423952,2019-11-06
AMBUJACEM,0.411901,2019-11-07
AMBUJACEM,0.399339,2019-11-08
AMBUJACEM,0.386483,2019-11-11
AMBUJACEM,0.393374,2019-11-13
AMBUJACEM,0.460109,2019-11-14
AMBUJACEM,0.441209,2019-11-15
AMBUJACEM,0.386847,2019-11-18
AMBUJACEM,0.395260,2019-11-19
AMBUJACEM,0.393442,2019-11-20
AMBUJACEM,0.415904,2019-11-21
AMBUJACEM,0.400759,2019-11-22
AMBUJACEM,0.409134,2019-11-25
AMBUJACEM,0.380632,2019-11-26
AMBUJACEM,0.408997,2019-11-27
AMBUJACEM,0.439873,2019-11-28
AMBUJACEM,0.293040,2019-11-29
AMBUJACEM,0.295310,2019-12-02
AMBUJACEM,0.289558,2019-12-03
AMBUJACEM,0.301218,2019-12-04
AMBUJACEM,0.286002,2019-12-05
AMBUJACEM,0.333333,2019-12-06
APOLLOHOSP,0.486315,2019-10-10
APOLLOHOSP,0.456862,2019-10-11
APOLLOHOSP,0.456043,2019-10-14
APOLLOHOSP,0.486792,2019-10-15
APOLLOHOSP,0.502923,2019-10-16
APOLLOHOSP,0.560253,2019-10-17
APOLLOHOSP,0.539449,2019-10-18
APOLLOHOSP,0.612085,2019-10-22
APOLLOHOSP,0.507964,2019-10-23
APOLLOHOSP,0.519337,2019-10-24
APOLLOHOSP,0.500963,2019-10-25
APOLLOHOSP,0.548929,2019-10-29
APOLLOHOSP,0.655971,2019-10-30
APOLLOHOSP,0.794936,2019-10-31
APOLLOHOSP,0.434426,2019-11-01
APOLLOHOSP,0.563758,2019-11-04
APOLLOHOSP,0.511428,2019-11-05
APOLLOHOSP,0.511392,2019-11-06
APOLLOHOSP,0.523341,2019-11-07
APOLLOHOSP,0.468036,2019-11-08
APOLLOHOSP,0.496153,2019-11-11
APOLLOHOSP,0.423242,2019-11-13
APOLLOHOSP,0.410034,2019-11-14
APOLLOHOSP,0.328561,2019-11-15
APOLLOHOSP,0.344189,2019-11-18
APOLLOHOSP,0.347402,2019-11-19
APOLLOHOSP,0.382246,2019-11-20
APOLLOHOSP,0.427666,2019-11-21
APOLLOHOSP,0.437901,2019-11-22
APOLLOHOSP,0.440433,2019-11-25
APOLLOHOSP,0.471910,2019-11-26
APOLLOHOSP,0.547572,2019-11-27
APOLLOHOSP,0.642352,2019-11-28
APOLLOHOSP,0.439189,2019-11-29
APOLLOHOSP,0.535353,2019-12-02
APOLLOHOSP,0.616666,2019-12-03
APOLLOHOSP,0.485193,2019-12-04
APOLLOHOSP,0.524109,2019-12-05
APOLLOHOSP,0.481884,2019-12-06
APOLLOTYRE,0.614259,2019-10-10
APOLLOTYRE,0.609403,2019-10-11
APOLLOTYRE,0.611111,2019-10-14
APOLLOTYRE,0.643617,2019-10-15
APOLLOTYRE,0.707031,2019-10-16
APOLLOTYRE,0.751515,2019-10-17
APOLLOTYRE,0.837471,2019-10-18
APOLLOTYRE,0.893462,2019-10-22
APOLLOTYRE,0.854014,2019-10-23
APOLLOTYRE,0.841584,2019-10-24
APOLLOTYRE,0.748329,2019-10-25
APOLLOTYRE,0.854545,2019-10-29
APOLLOTYRE,0.814432,2019-10-30
APOLLOTYRE,0.871134,2019-10-31
APOLLOTYRE,0.585365,2019-11-01
APOLLOTYRE,0.602316,2019-11-04
APOLLOTYRE,0.513582,2019-11-05
APOLLOTYRE,0.355528,2019-11-06
APOLLOTYRE,0.322580,2019-11-07
APOLLOTYRE,0.318773,2019-11-08
APOLLOTYRE,0.308883,2019-11-11
APOLLOTYRE,0.309777,2019-11-13
APOLLOTYRE,0.322019,2019-11-14
APOLLOTYRE,0.330160,2019-11-15
APOLLOTYRE,0.322622,2019-11-18
APOLLOTYRE,0.314553,2019-11-19
APOLLOTYRE,0.310054,2019-11-20
APOLLOTYRE,0.306382,2019-11-21
APOLLOTYRE,0.333939,2019-11-22
APOLLOTYRE,0.332842,2019-11-25
APOLLOTYRE,0.340630,2019-11-26
APOLLOTYRE,0.361144,2019-11-27
APOLLOTYRE,0.388318,2019-11-28
APOLLOTYRE,0.550868,2019-11-29
APOLLOTYRE,0.565957,2019-12-02
APOLLOTYRE,0.547244,2019-12-03
APOLLOTYRE,0.550863,2019-12-04
APOLLOTYRE,0.547663,2019-12-05
APOLLOTYRE,0.328382,2019-12-06
ASHOKLEY,0.525816,2019-10-10
ASHOKLEY,0.524921,2019-10-11
ASHOKLEY,0.497981,2019-10-14
ASHOKLEY,0.528065,2019-10-15
ASHOKLEY,0.594168,2019-10-16
ASHOKLEY,0.668245,2019-10-17
ASHOKLEY,0.758789,2019-10-18
ASHOKLEY,0.720268,2019-10-22
ASHOKLEY,0.704011,2019-10-23
ASHOKLEY,0.706382,2019-10-24
ASHOKLEY,0.655207,2019-10-25
